RUN_ADM;NOM_ADM;RUN_FM;FECHA_INF;ACTIVO_TOT;MONEDA;PARTICIPES_INST;INVERSION_EN_FONDOS;SERIE;CUOTAS_APORTADAS;CUOTAS_RESCATADAS;CUOTAS_EN_CIRCULACION;VALOR_CUOTA;PATRIMONIO_NETO;NUM_PARTICIPES;NUM_PARTICIPES_INST;FONDO_PEN;REM_FIJA;REM_VARIABLE;GASTOS_AFECTOS;GASTOS_NO_AFECTOS;COMISION_INVERSION;COMISION_RESCATE;FACTOR DE AJUSTE;FACTOR DE REPARTO
91999000;PRINCIPAL ASSET MANAGEMENT ADMINISTRADORA GENERAL DE FONDOS S.A.;8011;20260204;200640973212;$$;S;1;I2;0;0;7706213.129;1224.0014;9432415659;4;0;N;180899.1119;0;3221.2843;3108.3524;0;0;;
91999000;PRINCIPAL ASSET MANAGEMENT ADMINISTRADORA GENERAL DE FONDOS S.A.;8011;20260204;200640973212;$$;S;1;I;0;0;8972.3185;1421.4866;12754031;1;0;N;244.6025;0;4.3557;4.203;0;0;;
91999000;PRINCIPAL ASSET MANAGEMENT ADMINISTRADORA GENERAL DE FONDOS S.A.;8011;20260204;200640973212;$$;S;1;H;19097.3908;7589.8108;6603113.5837;1832.8897;12102778875;396;0;N;348572.3455;0;4138.0362;3992.9648;0;0;;
91999000;PRINCIPAL ASSET MANAGEMENT ADMINISTRADORA GENERAL DE FONDOS S.A.;8011;20260204;200640973212;$$;S;1;GLB;158108.2246;74462.0047;31985948.7133;1268.5067;40574390249;20322;0;N;1559960.8136;0;13889.1702;13402.2435;0;0;;
91999000;PRINCIPAL ASSET MANAGEMENT ADMINISTRADORA GENERAL DE FONDOS S.A.;8011;20260205;201007737471;$$;S;1;B;3942.6559;689.0204;3788815.2169;1761.345;6673410738;1195;0;N;237734.813;0;2275.343;2195.574;0;0;;
91999000;PRINCIPAL ASSET MANAGEMENT ADMINISTRADORA GENERAL DE FONDOS S.A.;8011;20260205;201007737471;$$;S;1;I2;245097.7589;0;7951310.8879;1224.1315;9733450124;4;0;N;186672.492;0;3318.0256;3201.7022;0;0;;
91999000;PRINCIPAL ASSET MANAGEMENT ADMINISTRADORA GENERAL DE FONDOS S.A.;8011;20260205;201007737471;$$;S;1;INV;136194.0605;69295.8449;26528642.6956;1785.3018;47361633556;2895;0;N;1691311.7319;0;16187.4244;15619.9254;0;0;;
91999000;PRINCIPAL ASSET MANAGEMENT ADMINISTRADORA GENERAL DE FONDOS S.A.;8011;20260205;201007737471;$$;S;1;K;0;97932.7864;3675811.3347;1302.2876;4786963521;81;0;N;100984.9523;0;1675.301;1616.5683;0;0;;
91999000;PRINCIPAL ASSET MANAGEMENT ADMINISTRADORA GENERAL DE FONDOS S.A.;8011;20260205;201007737471;$$;S;1;O;43365.2678;293.5403;10640938.5229;1363.8091;14512208790;16;6;N;0;0;4947.0931;4773.6579;0;0;;
91999000;PRINCIPAL ASSET MANAGEMENT ADMINISTRADORA GENERAL DE FONDOS S.A.;8011;20260205;201007737471;$$;S;1;PAT;7473.8789;36623.8635;21345820.6491;1461.5057;31197038550;346;0;N;727769.8033;0;10653.0152;10279.5417;0;0;;
